Question,Answer
What is (are) Acne ?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars.  No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse.  If you have acne   -  Clean your skin gently   -  Try not to touch your skin   -  Avoid the sun  Treatments for acne include medicines and creams.  NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Drug Abuse ?,"Drug abuse is a serious public health problem that affects almost every community and family in some way. Each year drug abuse causes millions of serious illnesses or injuries among Americans. Abused drugs include   - Methamphetamine  - Anabolic steroids  - Club drugs  - Cocaine  - Heroin  - Inhalants  - Marijuana  - Prescription drugs   Drug abuse also plays a role in many major social problems, such as drugged driving, violence, stress, and child abuse. Drug abuse can lead to homelessness, crime, and missed work or problems with keeping a job. It harms unborn babies and destroys families. There are different types of treatment for drug abuse. But the best is to prevent drug abuse in the first place.   NIH: National Institute on Drug Abuse"
What is (are) Testicular Disorders ?,"Testicles, or testes, make male hormones and sperm. They are two egg-shaped organs inside the scrotum, the loose sac of skin behind the penis. It's easy to injure your testicles because they are not protected by bones or muscles. Men and boys should wear athletic supporters when they play sports.   You should examine your testicles monthly and seek medical attention for lumps, redness, pain or other changes. Testicles can get inflamed or infected. They can also develop cancer. Testicular cancer is rare and highly treatable. It usually happens between the ages of 15 and 40."
What is (are) Personality Disorders ?,"Personality disorders are a group of mental illnesses. They involve long-term patterns of thoughts and behaviors that are unhealthy and inflexible. The behaviors cause serious problems with relationships and work. People with personality disorders have trouble dealing with everyday stresses and problems. They often have stormy relationships with other people.  The cause of personality disorders is unknown. However, genes and childhood experiences may play a role.  The symptoms of each personality disorder are different. They can mild or severe. People with personality disorders may have trouble realizing that they have a problem. To them, their thoughts are normal, and they often blame others for their problems. They may try to get help because of their problems with relationships and work. Treatment usually includes talk therapy and sometimes medicine."
What is (are) Indigestion ?,"Nearly everyone has had indigestion at one time. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. You may also feel nauseated, or even throw up.  You might get indigestion from eating too much or too fast, eating high-fat foods, or eating when you're stressed. Smoking, drinking too much alcohol, using some medicines, being tired, and having ongoing stress can also cause indigestion or make it worse. Sometimes the cause is a problem with the digestive tract, like an ulcer or GERD.  Avoiding foods and situations that seem to cause it may help. Because indigestion can be a sign of a more serious problem, see your health care provider if it lasts for more than two weeks or if you have severe pain or other symptoms. Your health care provider may use x-rays, lab tests, and an upper endoscopy to diagnose the cause. You may need medicines to treat the symptoms.  NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Asthma ?,"Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are allergic to or find irritating. When your airways react, they get narrower and your lungs get less air.  Symptoms of asthma include   - Wheezing  - Coughing, especially early in the morning or at night  - Chest tightness  - Shortness of breath   Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests.  When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal.  Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms.   NIH: National Heart, Lung, and Blood Institute"
What is (are) Plague ?,"Plague is an infection caused by the bacterium Yersinia pestis. The bacteria are found mainly in rats and in the fleas that feed on them. People and other animals can get plague from rat or flea bites. In the past, plague destroyed entire civilizations. Today plague is uncommon, due to better living conditions and antibiotics.  There are three forms of plague:   - Bubonic plague causes the tonsils, adenoids, spleen, and thymus to become inflamed. Symptoms include fever, aches, chills, and tender lymph glands.  - In septicemic plague, bacteria multiply in the blood. It causes fever, chills, shock, and bleeding under the skin or other organs.  - Pneumonic plague is the most serious form. Bacteria enter the lungs and cause pneumonia. People with the infection can spread this form to others. This type could be a bioterror agent.   Lab tests can diagnose plague. Treatment is a strong antibiotic. There is no vaccine.  NIH: National Institute of Allergy and Infectious Diseases"
What is (are) Depression ?,"Depression is a serious medical illness. It's more than just a feeling of being sad or ""blue"" for a few days. If you are one of the more than 19 million teens and adults in the United States who have depression, the feelings do not go away. They persist and interfere with your everyday life. Symptoms can include   - Feeling sad or ""empty""  - Loss of interest in favorite activities  - Overeating, or not wanting to eat at all  - Not being able to sleep, or sleeping too much  - Feeling very tired  - Feeling hopeless, irritable, anxious, or guilty  - Aches or pains, headaches, cramps, or digestive problems  - Thoughts of death or suicide   Depression is a disorder of the brain. There are a variety of causes, including genetic, biological, environmental, and psychological factors. Depression can happen at any age, but it often begins in teens and young adults. It is much more common in women. Women can also get postpartum depression after the birth of a baby. Some people get seasonal affective disorder in the winter. Depression is one part of bipolar disorder.  There are effective treatments for depression, including antidepressants, talk therapy, or both.  NIH: National Institute of Mental Health"
What is (are) Diarrhea ?,"Diarrhea means that you have loose, watery stools more than three times in one day. You may also have cramps, bloating, nausea and an urgent need to have a bowel movement.   Causes of diarrhea include bacteria, viruses or parasites, certain medicines, food intolerances and diseases that affect the stomach, small intestine or colon. In many cases, no cause can be found.   Although usually not harmful, diarrhea can become dangerous or signal a more serious problem. You should talk to your doctor if you have a strong pain in your abdomen or rectum, a fever, blood in your stools, severe diarrhea for more than three days or symptoms of dehydration. If your child has diarrhea, do not hesitate to call the doctor for advice. Diarrhea can be dangerous in children.   NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Post-Traumatic Stress Disorder ?,"Post-traumatic stress disorder (PTSD) is a real illness. You can get PTSD after living through or seeing a traumatic event, such as war, a hurricane, sexual assault, physical abuse, or a bad accident. PTSD makes you feel stressed and afraid after the danger is over. It affects your life and the people around you.  PTSD can cause problems like   - Flashbacks, or feeling like the event is happening again  - Trouble sleeping or nightmares  - Feeling alone  - Angry outbursts  - Feeling worried, guilty, or sad   PTSD starts at different times for different people. Signs of PTSD may start soon after a frightening event and then continue. Other people develop new or more severe signs months or even years later. PTSD can happen to anyone, even children.  Treatment may include talk therapy, medicines, or both. Treatment might take 6 to 12 weeks. For some people, it takes longer.  NIH: National Institute of Mental Health"
What is (are) Multiple System Atrophy ?,"Multiple system atrophy (MSA) is a progressive neurodegenerative disorder characterized by symptoms of autonomic nervous system failure such as fainting spells and bladder control problems, combined with motor control symptoms such as tremor, rigidity, and loss of muscle coordination. MSA affects both men and women primarily in their 50s. Although what causes MSA is unknown, the disorder's symptoms reflect the loss of nerve cells in several different areas in the brain and spinal cord that control the autonomic nervous system and coordinate muscle movements. The loss of nerve cells may be due to the buildup of a protein called alpha-synuclein in the cells that support nerve cells in the brain."
What are the treatments for Multiple System Atrophy ?,"There is no cure for MSA. Currently, there are no treatments to delay the progress of neurodegeneration in the brain. But there are treatments available to help people cope with some of the more disabling symptoms of MSA. In some individuals, levodopa may improve motor function, but the benefit may not continue as the disease progresses."
What is the outlook for Multiple System Atrophy ?,"The disease tends to advance rapidly over the course of 5 to 10 years, with progressive loss of motor skills, eventual confinement to bed, and death. There is no remission from the disease. There is currently no cure."
what research (or clinical trials) is being done for Multiple System Atrophy ?,"The NINDS supports research about MSA through grants to major medical institutions across the country. Researchers hope to learn why alpha-synuclein buildup occurs in MSA and Parkinsons disease, and how to prevent it. Drugs that reduce the abnormal alpha-synuclein buildup may be promising treatments for MSA"
What is (are) Neurotoxicity ?,"Neurotoxicity occurs when the exposure to natural or manmade toxic substances (neurotoxicants) alters the normal activity of the nervous system. This can eventually disrupt or even kill neurons, key cells that transmit and process signals in the brain and other parts of the nervous system. Neurotoxicity can result from exposure to substances used in chemotherapy, radiation treatment, drug therapies, and organ transplants, as well as exposure to heavy metals such as lead and mercury, certain foods and food additives, pesticides, industrial and/or cleaning solvents, cosmetics, and some naturally occurring substances. Symptoms may appear immediately after exposure or be delayed. They may include limb weakness or numbness"
What are the treatments for Neurotoxicity ?,"Treatment involves eliminating or reducing exposure to the toxic substance, followed by symptomatic and supportive therapy."
What is the outlook for Neurotoxicity ?,"The prognosis depends upon the length and degree of exposure and the severity of neurological injury. In some instances, exposure to neurotoxicants can be fatal. In others, patients may survive but not fully recover. In other situations, many individuals recover completely after treatment."
what research (or clinical trials) is being done for Neurotoxicity ?,"The NINDS supports research on disorders of the brain and nervous system such as neurotoxicity, aimed at learning more about these disorders and finding ways to prevent and treat them. Scientists are investigating the role occupational or environmental toxicants have on progressive neurodegenerative disorders such as Parkinson's disease, amyotrophic lateral sclerosis, multiple sclerosis, and dementia. Also being studied are the mechanisms that trigger neuroimmune responses in the central nervous system and the possibility that some brain disorders in children may occur when environmental triggers interact with genes."
What is (are) Chiari Malformation ?,"Chiari malformations (CMs) are structural defects in the cerebellum, the part of the brain that controls balance. When the indented bony space at the lower rear of the skull is smaller than normal, the cerebellum and brain stem can be pushed downward. The resulting pressure on the cerebellum can block the flow of cerebrospinal fluid (the liquid that surrounds and protects the brain and spinal cord) and can cause a range of symptoms including dizziness, muscle weakness, numbness, vision problems, headache, and problems with balance and coordination. Symptoms may change for some individuals depending on buildup of CNS and any resulting pressure on tissue and nerves. CMs are classified by the severity of the disorder and the parts of the brain that protrude into the spinal canal. The most common is Type I, which may not cause symptoms and is often found by accident during an examination for another condition. Type II (also called Arnold-Chiari malformation) is usually accompanied by a myelomeningocele-a form of spina bifida that occurs when the spinal canal and backbone do not close before birth, causing the spinal cord to protrude through an opening in the back. This can cause partial or complete paralysis below the spinal opening. Type III is the most serious form of CM, and causes severe neurological defects. Other conditions sometimes associated with CM include hydrocephalus, syringomyelia (a fluid-filled cyst in the spinal cord), and spinal curvature."
What are the treatments for Chiari Malformation ?,"Medications may ease certain symptoms, such as pain. Surgery is the only treatment available to correct functional disturbances or halt the progression of damage to the central nervous system. More than one surgery may be needed to treat the condition. Some CMs have no noticeable symptoms and do not interfere with the person's activities of daily living."
What is the outlook for Chiari Malformation ?,"Many people with Type I CM are asymptomatic and do not know they have the condition. Many individuals with the more severe types of CM and have surgery see a reduction in their symptoms and/or prolonged periods of relative stability, although paralysis is generally permanent."
what research (or clinical trials) is being done for Chiari Malformation ?,"The NINDS supports research on disorders of the brain and nervous system such as Chiari malformations. The goals of this research are to increase scientific understanding of these disorders and to find ways to prevent, treat, and, ultimately, cure them. Current NINDS-funded research includes studies to better understand the genetic factors responsible for the malformation, and factors that influence the development, progression, and relief of symptoms among people with syringomyelia, including those with Chiari I malformations."
What is (are) Absence of the Septum Pellucidum ?,"The septum pellucidum (SP) is a thin membrane located at the midline of the brain between the two cerebral hemispheres, or halves of the brain.. It is connected to the corpus callosum -- a collection of nerve fibers that connect the cerebral hemispherers. This rare abnormality accompanies various malformations of the brain that affect intelligence, behavior, and the neurodevelopmental process, and seizures may occur. Children who are born without this membrane and also have other abnormalities--pituitary deficiencies and abnormal development of the optic disk--have a disorder known as septo-optic dysplasia. More information about this condition can be located at the NINDS Septo-Optic Dysplasia Information Page."
What are the treatments for Absence of the Septum Pellucidum ?,Absence of the SP alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies.
What is the outlook for Absence of the Septum Pellucidum ?,"When the absence of the septum pellucidum is part of septo-optic dysplasia, the prognosis varies according to the presence and severity of associated symptoms. By itself, absence of the septum pellucidum is not life-threatening."
what research (or clinical trials) is being done for Absence of the Septum Pellucidum ?,The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders.
What is (are) Alpers' Disease ?,"Alpers' disease is a progressive, neurodevelopmental, mitochondrial DNA depletion syndrome characterized by three co-occurring clinical symptoms: psychomotor regression (dementia)"
What are the treatments for Alpers' Disease ?,"There is no cure for Alpers' disease and no way to slow its progression. Treatment is symptomatic and supportive. Anticonvulsants may be used to treat the seizures, but at times the seizures do not respond well to therapy, even at high doses. Therefore, the benefit of seizure control should be weights against what could be excessive sedation from the anticonvulsant.. Valproate should not be used since it can increase the risk of liver failure. Physical therapy may help to relieve spasticity and maintain or increase muscle tone."
What is the outlook for Alpers' Disease ?,"The prognosis for individuals with Alpers' disease is poor. Those with the disease usually die within their first decade of life. Continuous, unrelenting seizures often lead to death. Liver failure and cardiorespiratory failure due to brain, spinal cord, and nerve involvement may also occur."
what research (or clinical trials) is being done for Alpers' Disease ?,"The NINDS supports research on gene-linked neurodegenerative disorders such as Alpers' disease. The goals of this research are to increase scientific understanding of these disorders, and to find ways to prevent, treat, and cure them."
What is (are) Herpes Zoster Oticus ?,"Herpes zoster oticus, also called Ramsay Hunt Syndrome or Ramsay Hunt Syndrome type II, is a common complication of shingles. Shingles is an infection caused by the varicella-zoster virus, which is the virus that causes chickenpox. Shingles occurs in people who have had chickenpox and represents a reactivation of the dormant varicella-zoster virus. Herpes zoster oticus, which is caused by the spread of the varicella-zoster virus to facial nerves, is characterized by intense ear pain, a rash around the ear, mouth, face, neck, and scalp, and paralysis of facial nerves. Other symptoms may include hearing loss, vertigo (abnormal sensation of movement), and tinnitus (abnormal sounds). Taste loss in the tongue and dry mouth and eyes may also occur."
What are the treatments for Kidney Stones in Adults ?,"Treatment for kidney stones usually depends on their size and what they are made of, as well as whether they are causing pain or obstructing the urinary tract. Kidney stones may be treated by a general practitioner or by a urologista doctor who specializes in the urinary tract. Small stones usually pass through the urinary tract without treatment. Still, the person may need pain medication and should drink lots of fluids to help move the stone along. Pain control may consist of oral or intravenous (IV) medication, depending on the duration and severity of the pain. IV fluids may be needed if the person becomes dehydrated from vomiting or an inability to drink. A person with a larger stone, or one that blocks urine flow and causes great pain, may need more urgent treatment, such as
  
 - Shock wave lithotripsy. A machine called a lithotripter is used to crush the kidney stone. The procedure is performed by a urologist on an outpatient basis and anesthesia is used. In shock wave lithotripsy, the person lies on a table or, less commonly, in a tub of water above the lithotripter. The lithotripter generates shock waves that pass through the persons body to break the kidney stone into smaller pieces to pass more readily through the urinary tract. - Ureteroscopy. A ureteroscopea long, tubelike instrument with an eyepieceis used to find and retrieve the stone with a small basket or to break the stone up with laser energy. The procedure is performed by a urologist in a hospital with anesthesia. The urologist inserts the ureteroscope into the persons urethra and slides the scope through the bladder and into the ureter. The urologist removes the stone or, if the stone is large, uses a flexible fiber attached to a laser generator to break the stone into smaller pieces that can pass out of the body in the urine. The person usually goes home the same day.
  
 - Percutaneous nephrolithotomy. In this procedure, a wire-thin viewing instrument called a nephroscope is used to locate and remove the stone. The procedure is performed by a urologist in a hospital with anesthesia. During the procedure, a tube is inserted directly into the kidney through a small incision in the persons back. For large stones, an ultrasonic probe that acts as a lithotripter may be needed to deliver shock waves that break the stone into small pieces that can be removed more easily. The person may have to stay in the hospital for several days after the procedure and may have a small tube called a nephrostomy tube inserted through the skin into the kidney. The nephrostomy tube drains urine and any residual stone fragments from the kidney into a urine collection bag. The tube is usually left in the kidney for 2 or 3 days while the person remains in the hospital."
Who is at risk for Vesicoureteral Reflux?,"Vesicoureteral reflux is more common in infants and young children, but older children and even adults can be affected. About 10 percent of children have VUR.1 Studies estimate that VUR occurs in about 32 percent of siblings of an affected child. This rate may be as low as 7 percent in older siblings and as high as 100 percent in identical twins. These findings indicate that VUR is an inherited condition.2"
What is (are) Acromegaly ?,"Acromegaly is a hormonal disorder that results from too much growth hormone (GH) in the body. The pituitary, a small gland in the brain, makes GH. In acromegaly, the pituitary produces excessive amounts of GH. Usually the excess GH comes from benign, or noncancerous, tumors on the pituitary. These benign tumors are called adenomas.
  
 Acromegaly is most often diagnosed in middle-aged adults, although symptoms can appear at any age. If not treated, acromegaly can result in serious illness and premature death. Acromegaly is treatable in most patients, but because of its slow and often ""sneaky"" onset, it often is not diagnosed early or correctly. The most serious health consequences of acromegaly are type 2 diabetes, high blood pressure, increased risk of cardiovascular disease, and arthritis. Patients with acromegaly are also at increased risk for colon polyps, which may develop into colon cancer if not removed.
  
 When GH-producing tumors occur in childhood, the disease that results is called gigantism rather than acromegaly. A child's height is determined by the length of the so-called long bones in the legs. In response to GH, these bones grow in length at the growth platesareas near either end of the bone. Growth plates fuse after puberty, so the excessive GH production in adults does not result in increased height. However, prolonged exposure to excess GH before the growth plates fuse causes increased growth of the long bones and thus increased height. Pediatricians may become concerned about this possibility if a child's growth rate suddenly and markedly increases beyond what would be predicted by previous growth and how tall the child's parents are."
What are the symptoms of Acromegaly ?,"The name acromegaly comes from the Greek words for ""extremities"" and ""enlargement,"" reflecting one of its most common symptomsthe abnormal growth of the hands and feet. Swelling of the hands and feet is often an early feature, with patients noticing a change in ring or shoe size, particularly shoe width. Gradually, bone changes alter the patient's facial features: The brow and lower jaw protrude, the nasal bone enlarges, and the teeth space out.
  
 Overgrowth of bone and cartilage often leads to arthritis. When tissue thickens, it may trap nerves, causing carpal tunnel syndrome, which results in numbness and weakness of the hands. Body organs, including the heart, may enlarge.
  
 Other symptoms of acromegaly include
  
 - joint aches - thick, coarse, oily skin - skin tags - enlarged lips, nose, and tongue - deepening of the voice due to enlarged sinuses and vocal cords - sleep apnea-breaks in breathing during sleep due to obstruction of the airway - excessive sweating and skin odor - fatigue and weakness - headaches - impaired vision - abnormalities of the menstrual cycle and sometimes breast discharge in women - erectile dysfunction in men - decreased libido"
What causes Acromegaly ?,"Acromegaly is caused by prolonged overproduction of GH by the pituitary gland. The pituitary produces several important hormones that control body functions such as growth and development, reproduction, and metabolism. But hormones never seem to act simply and directly. They usually ""cascade"" or flow in a series, affecting each other's production or release into the bloodstream.
  
 GH is part of a cascade of hormones that, as the name implies, regulates the physical growth of the body. This cascade begins in a part of the brain called the hypothalamus. The hypothalamus makes hormones that regulate the pituitary. One of the hormones in the GH series, or ""axis,"" is growth hormone-releasing hormone (GHRH), which stimulates the pituitary gland to produce GH.
  
 Secretion of GH by the pituitary into the bloodstream stimulates the liver to produce another hormone called insulin-like growth factor I (IGF-I). IGF-I is what actually causes tissue growth in the body. High levels of IGF-I, in turn, signal the pituitary to reduce GH production.
  
 The hypothalamus makes another hormone called somatostatin, which inhibits GH production and release. Normally, GHRH, somatostatin, GH, and IGF-I levels in the body are tightly regulated by each other and by sleep, exercise, stress, food intake, and blood sugar levels. If the pituitary continues to make GH independent of the normal regulatory mechanisms, the level of IGF-I continues to rise, leading to bone overgrowth and organ enlargement. High levels of IGF-I also cause changes in glucose (sugar) and lipid (fat) metabolism and can lead to diabetes, high blood pressure, and heart disease.
  
 Pituitary Tumors
  
 In more than 95 percent of people with acromegaly, a benign tumor of the pituitary gland, called an adenoma, produces excess GH. Pituitary tumors are labeled either micro- or macro-adenomas, depending on their size. Most GH-secreting tumors are macro-adenomas, meaning they are larger than 1 centimeter. Depending on their location, these larger tumors may compress surrounding brain structures. For example, a tumor growing upward may affect the optic chiasm-where the optic nerves crossleading to visual problems and vision loss. If the tumor grows to the side, it may enter an area of the brain called the cavernous sinus where there are many nerves, potentially damaging them.
  
 Compression of the surrounding normal pituitary tissue can alter production of other hormones. These hormonal shifts can lead to changes in menstruation and breast discharge in women and erectile dysfunction in men. If the tumor affects the part of the pituitary that controls the thyroidanother hormone-producing glandthen thyroid hormones may decrease. Too little thyroid hormone can cause weight gain, fatigue, and hair and skin changes. If the tumor affects the part of the pituitary that controls the adrenal gland, the hormone cortisol may decrease. Too little cortisol can cause weight loss, dizziness, fatigue, low blood pressure, and nausea.
  
 Some GH-secreting tumors may also secrete too much of other pituitary hormones. For example, they may produce prolactin, the hormone that stimulates the mammary glands to produce milk. Rarely, adenomas may produce thyroid-stimulating hormone. Doctors should assess all pituitary hormones in people with acromegaly.
  
 Rates of GH production and the aggressiveness of the tumor vary greatly among people with adenomas. Some adenomas grow slowly and symptoms of GH excess are often not noticed for many years. Other adenomas grow more rapidly and invade surrounding brain areas or the venous sinuses, which are located near the pituitary gland. Younger patients tend to have more aggressive tumors. Regardless of size, these tumors are always benign.
  
 Most pituitary tumors develop spontaneously and are not genetically inherited. They are the result of a genetic alteration in a single pituitary cell, which leads to increased cell division and tumor formation. This genetic change, or mutation, is not present at birth, but happens later in life. The mutation occurs in a gene that regulates the transmission of chemical signals within pituitary cells. It permanently switches on the signal that tells the cell to divide and secrete GH. The events within the cell that cause disordered pituitary cell growth and GH oversecretion currently are the subject of intensive research.
  
 Nonpituitary Tumors
  
 Rarely, acromegaly is caused not by pituitary tumors but by tumors of the pancreas, lungs, and other parts of the brain. These tumors also lead to excess GH, either because they produce GH themselves or, more frequently, because they produce GHRH, the hormone that stimulates the pituitary to make GH. When these non-pituitary tumors are surgically removed, GH levels fall and the symptoms of acromegaly improve.
  
 In patients with GHRH-producing, non-pituitary tumors, the pituitary still may be enlarged and may be mistaken for a tumor. Physicians should carefully analyze all ""pituitary tumors"" removed from patients with acromegaly so they do not overlook the rare possibility that a tumor elsewhere in the body is causing the disorder."
How many people are affected by Acromegaly ?,"Small pituitary adenomas are common, affecting about 17 percent of the population.1 However, research suggests most of these tumors do not cause symptoms and rarely produce excess GH.2 Scientists estimate that three to four out of every million people develop acromegaly each year and about 60 out of every million people suffer from the disease at any time.3 Because the clinical diagnosis of acromegaly is often missed, these numbers probably underestimate the frequency of the disease."
What are the treatments for Acromegaly ?,"No single treatment is effective for all patients. Treatment should be individualized, and often combined, depending on patient characteristics such as age and tumor size.
  
 If the tumor has not yet invaded surrounding nonpituitary tissues, removal of the pituitary adenoma by an experienced neurosurgeon is usually the first choice. Even if a cure is not possible, surgery may be performed if the patient has symptoms of neurological problems such as loss of peripheral vision or cranial nerve problems. After surgery, hormone levels are measured to determine whether a cure has been achieved. This determination can take up to 8 weeks because IGF-I lasts a long time in the body's circulation. If cured, a patient must be monitored for a long time for increasing GH levels.
  
 If surgery does not normalize hormone levels or a relapse occurs, an endocrinologist should recommend additional drug therapy. With each medication, long-term therapy is necessary because their withdrawal can lead to rising GH levels and tumor re-expansion.
  
 Radiation therapy is generally reserved for patients whose tumors are not completely removed by surgery, who are not good candidates for surgery because of other health problems, or who do not respond adequately to surgery and medication."
What is (are) Prolactinoma ?,"The pituitary gland, sometimes called the master gland, plays a critical role in regulating growth and development, metabolism, and reproduction. It produces prolactin and other key hormones including
  
 - growth hormone, which regulates growth - adrenocorticotropin (ACTH), which stimulates the adrenal glands to produce cortisol, a hormone important in metabolism and the body's response to stress - thyrotropin, which signals the thyroid gland to produce thyroid hormone, also involved in metabolism and growth - luteinizing hormone and follicle-stimulating hormone, which regulate ovulation and estrogen and progesterone production in women and sperm formation and testosterone production in men
  
 The pituitary gland sits in the middle of the head in a bony box called the sella turcica. The optic nerves sit directly above the pituitary gland. Enlargement of the gland can cause symptoms such as headaches or visual disturbances. Pituitary tumors may also impair production of one or more pituitary hormones, causing reduced pituitary function, also called hypopituitarism."
How many people are affected by Prolactinoma ?,"Although small benign pituitary tumors are fairly common in the general population, symptomatic prolactinomas are uncommon. Prolactinomas occur more often in women than men and rarely occur in children."
What are the symptoms of Prolactinoma ?,"In women, high levels of prolactin in the blood often cause infertility and changes in menstruation. In some women, periods may stop. In others, periods may become irregular or menstrual flow may change. Women who are not pregnant or nursing may begin producing breast milk. Some women may experience a loss of libido-interest in sex. Intercourse may become painful because of vaginal dryness.
  
 In men, the most common symptom of prolactinoma is erectile dysfunction. Because men have no reliable indicator such as changes in menstruation to signal a problem, many men delay going to the doctor until they have headaches or eye problems caused by the enlarged pituitary pressing against nearby optic nerves. They may not recognize a gradual loss of sexual function or libido. Only after treatment do some men realize they had a problem with sexual function."
What is (are) Henoch-Schnlein Purpura ?,"Henoch-Schnlein purpura is a disease that causes small blood vessels in the body to become inflamed and leak. The primary symptom is a rash that looks like many small raised bruises. HSP can also affect the kidneys, digestive tract, and joints. HSP can occur any time in life, but it is most common in children between 2 and 6 years of age.1 Most people recover from HSP completely, though kidney damage is the most likely long-term complication. In adults, HSP can lead to chronic kidney disease (CKD) and kidney failure, described as end-stage renal disease when treated with blood-filtering treatments called dialysis or a kidney transplant."
What causes Henoch-Schnlein Purpura ?,"Henoch-Schnlein purpura is caused by an abnormal immune system response in which the bodys immune system attacks the bodys own cells and organs. Usually, the immune system makes antibodies, or proteins, to protect the body from foreign substances such as bacteria or viruses. In HSP, these antibodies attack the blood vessels. The factors that cause this immune system response are not known. However, in 30 to 50 percent of cases, people have an upper respiratory tract infection, such as a cold, before getting HSP.2 HSP has also been associated with
  
 - infectious agents such as chickenpox, measles, hepatitis, and HIV viruses - medications - foods - insect bites - exposure to cold weather - trauma
  
 Genetics may increase the risk of HSP, as it has occurred in different members of the same family, including in twins."
What are the symptoms of Henoch-Schnlein Purpura ?,"The symptoms of HSP include the following:
  
 - Rash. Leaking blood vessels in the skin cause a rash that looks like bruises or small red dots on the legs, arms, and buttocks. The rash may first look like hives and then change to look like bruises, and it may spread to the chest, back, and face. The rash does not disappear or turn pale when pressed. - Digestive tract problems. HSP can cause vomiting and abdominal pain, which can range from mild to severe. Blood may also appear in the stool, though severe bleeding is rare. - Arthritis. Pain and swelling can occur in the joints, usually in the knees and ankles and less frequently in the elbows and wrists. - Kidney involvement. Hematuria blood in the urineis a common sign that HSP has affected the kidneys. Proteinurialarge amounts of protein in the urineor development of high blood pressure suggests more severe kidney problems. - Other symptoms. In some cases, boys with HSP develop swelling of the testicles. Symptoms affecting the central nervous system, such as seizures, and lungs, such as pneumonia, have been seen in rare cases.
  
 Though the rash affects all people with HSP, pain in the joints or abdomen precedes the rash in about one-third of cases by as many as 14 days.1"
What are the complications of Henoch-Schnlein Purpura ?,"In children, the risk of kidney damage leading to long-term problems may be as high as 15 percent, but kidney failure affects only about 1 percent of children with HSP.1 Up to 40 percent of adults with HSP will have CKD or kidney failure within 15 years after diagnosis.3
  
 A rare complication of HSP is intussusception of the bowel, which includes the small and large intestines. With this condition, a section of the bowel folds into itself like a telescope, causing the bowel to become blocked.
  
 Women with a history of HSP who become pregnant are at higher risk for high blood pressure and proteinuria during pregnancy."
What is (are) Nephrotic Syndrome in Adults ?,"Nephrotic syndrome is a collection of symptoms that indicate kidney damage. Nephrotic syndrome includes the following:
  
 - proteinurialarge amounts of protein in the urine - hyperlipidemiahigher than normal fat and cholesterol levels in the blood - edema, or swelling, usually in the legs, feet, or ankles and less often in the hands or face - hypoalbuminialow levels of albumin in the blood
  
 Albumin is a protein that acts like a sponge, drawing extra fluid from the body into the bloodstream where it remains until removed by the kidneys. When albumin leaks into the urine, the blood loses its capacity to absorb extra fluid from the body, causing edema.
  
 Nephrotic syndrome results from a problem with the kidneys filters, called glomeruli. Glomeruli are tiny blood vessels in the kidneys that remove wastes and excess fluids from the blood and send them to the bladder as urine.
  
 As blood passes through healthy kidneys, the glomeruli filter out the waste products and allow the blood to retain cells and proteins the body needs. However, proteins from the blood, such as albumin, can leak into the urine when the glomeruli are damaged. In nephrotic syndrome, damaged glomeruli allow 3 grams or more of protein to leak into the urine when measured over a 24-hour period, which is more than 20 times the amount that healthy glomeruli allow."
